Genes,Control-1,Control-2,Experiment-1,Experiment-2
ENSG00000290825.1,1,0,0,0
ENSG00000223972.6,0,0,0,0
ENSG00000227232.5,505,551,642,473
ENSG00000278267.1,40,30,44,37
ENSG00000243485.5,0,2,2,0
ENSG00000284332.1,0,0,0,0
ENSG00000237613.2,0,0,0,0
ENSG00000268020.3,0,0,0,0
ENSG00000290826.1,0,0,0,1
ENSG00000240361.3,0,0,0,0
ENSG00000186092.7,0,0,0,0
ENSG00000238009.6,1,0,0,0
ENSG00000239945.1,0,0,0,0
ENSG00000233750.3,0,2,1,1
ENSG00000268903.1,7,3,0,0
ENSG00000269981.1,3,1,0,1
ENSG00000239906.1,3,0,1,5
ENSG00000241860.7,18,8,28,28
ENSG00000222623.1,0,0,0,0
ENSG00000241599.1,0,0,0,0
ENSG00000279928.2,3,0,0,2
ENSG00000279457.4,696,763,1018,786
ENSG00000273874.1,3,2,1,4
ENSG00000228463.10,15,44,30,21
ENSG00000286448.1,2,0,0,0
ENSG00000236679.2,6,1,7,2
ENSG00000236601.2,0,0,0,0
ENSG00000290385.1,32,31,34,34
ENSG00000269732.1,0,0,0,0
ENSG00000284733.2,0,0,0,0
ENSG00000237094.13,0,0,0,0
ENSG00000233653.3,2,0,1,1
ENSG00000250575.1,23,8,3,8
ENSG00000278757.1,0,0,0,0
ENSG00000230021.10,16,36,53,43
ENSG00000235146.2,0,0,0,0
ENSG00000225972.1,40,16,43,40
ENSG00000225630.1,3367,3956,3597,6387
ENSG00000237973.1,662,779,1229,1402
ENSG00000278791.1,0,0,0,0
ENSG00000229344.1,12,14,14,9
ENSG00000240409.1,2,3,1,3
ENSG00000248527.1,18377,19221,19186,28727
ENSG00000198744.5,49,41,53,58
ENSG00000268663.1,0,0,0,0
ENSG00000284662.2,0,0,0,0
ENSG00000229376.3,14,8,15,36
ENSG00000291215.1,309,306,384,480
ENSG00000223181.1,1,0,0,0
ENSG00000229905.1,0,0,0,0
ENSG00000228327.6,0,0,0,0
ENSG00000237491.10,175,201,259,216
ENSG00000285268.1,0,0,0,0
ENSG00000290784.1,1,10,2,5
ENSG00000230092.8,0,0,0,0
ENSG00000177757.2,0,3,7,1
ENSG00000225880.6,116,128,236,163
ENSG00000228794.12,885,835,1013,1333
ENSG00000288531.1,4,0,4,2
ENSG00000230368.2,0,0,0,6
ENSG00000234711.1,0,0,1,0
ENSG00000283040.1,0,0,0,0
ENSG00000272438.1,70,107,94,82
ENSG00000230699.2,317,333,344,340
ENSG00000241180.1,9,11,9,3
ENSG00000223764.2,2777,2959,3224,3344
ENSG00000187634.13,11946,11681,13284,9049
ENSG00000188976.11,17133,16895,23379,18639
ENSG00000187961.15,3669,3636,6508,2994
ENSG00000187583.11,110,77,110,31
ENSG00000187642.10,13,21,6,1
ENSG00000272512.1,737,640,904,1091
ENSG00000188290.11,20668,18812,28978,10206
ENSG00000187608.10,348,402,494,273
ENSG00000231702.2,5,4,7,1
ENSG00000224969.1,23,36,53,31
ENSG00000188157.15,5306,5300,8302,4893
ENSG00000242590.1,0,0,0,0
ENSG00000291156.1,132,130,205,84
ENSG00000273443.1,23,14,20,12
ENSG00000217801.13,62,67,143,56
ENSG00000237330.3,0,3,0,1
ENSG00000131591.18,2161,2001,2668,2160
ENSG00000285812.1,24,33,17,40
ENSG00000223823.1,0,0,0,0
ENSG00000207730.3,0,0,0,0
ENSG00000207607.3,0,0,0,0
ENSG00000198976.1,0,0,0,0
ENSG00000272141.1,0,0,0,0
ENSG00000205231.1,0,0,0,0
ENSG00000162571.14,1,2,8,0
ENSG00000186891.14,6,8,6,6
ENSG00000186827.12,8,0,2,5
ENSG00000078808.20,9946,10159,13523,11267
ENSG00000176022.7,5608,5386,7618,6290
ENSG00000184163.3,74,59,179,70
ENSG00000260179.1,10,15,45,11
ENSG00000160087.21,6588,6491,8691,6661
ENSG00000230415.1,70,71,95,71
ENSG00000162572.21,736,753,1044,811
ENSG00000131584.19,4939,4775,8038,4551
ENSG00000278073.1,0,0,0,0
ENSG00000169972.13,2890,2647,3792,2378
ENSG00000127054.22,7888,7977,10617,7909
ENSG00000283712.1,0,0,0,0
ENSG00000240731.1,237,192,264,215
ENSG00000224051.7,2211,2056,2965,2087
ENSG00000169962.5,65,55,55,71
ENSG00000107404.21,12644,11929,17492,10909
ENSG00000284372.1,0,0,0,0
ENSG00000162576.17,2076,1906,2675,1393
ENSG00000175756.14,17719,16832,20899,12201
ENSG00000223663.2,6,0,5,1
ENSG00000221978.13,9307,9457,14996,9475
ENSG00000224870.9,2253,2223,2721,1994
ENSG00000242485.6,7631,7466,9550,6262
ENSG00000264293.2,0,0,0,0
ENSG00000272455.1,409,363,565,446
ENSG00000235098.9,0,1,1,6
ENSG00000225905.1,0,1,0,1
ENSG00000205116.4,18,15,14,9
ENSG00000225285.1,104,99,81,35
ENSG00000179403.12,2821,2615,4579,2082
ENSG00000215915.10,15,20,16,35
ENSG00000160072.20,9980,9960,14162,9542
ENSG00000290916.1,0,3,6,7
ENSG00000284740.3,0,0,0,0
ENSG00000197785.14,12312,11947,16443,11352
ENSG00000205090.9,74,87,114,89
ENSG00000160075.12,14671,14401,18741,14196
ENSG00000215014.5,133,137,175,177
ENSG00000274481.1,0,0,0,0
ENSG00000228594.4,2554,2565,4339,2696
ENSG00000286989.1,263,218,342,203
ENSG00000272106.1,353,317,669,393
ENSG00000197530.13,3589,3671,6790,4400
ENSG00000189409.14,17,22,25,53
ENSG00000248333.9,3349,3391,4721,4174
ENSG00000272004.1,10,18,14,13
ENSG00000189339.12,4093,4343,5581,5107
ENSG00000269737.2,46,52,75,90
ENSG00000215914.4,13,6,30,22
ENSG00000008128.23,105,92,125,124
