#chrom	start	end	size	num_data	min	max	mean	median	sum
chr1	14352	14704	352	352	0.12	0.22	0.15	0.14	54.25
chr1	141422	141774	352	352	0.00	0.08	0.05	0.07	17.72
chr1	185165	185517	352	352	0.13	0.27	0.23	0.24	79.44
chr1	257812	258164	352	352	0.00	0.02	0.01	0.01	3.72
chr1	491173	491525	352	352	0.06	0.19	0.13	0.12	45.80
chr1	586019	586371	352	352	0.01	0.22	0.14	0.15	50.07
chr1	722040	722392	352	352	0.01	0.12	0.06	0.06	22.20
chr1	778695	779047	352	352	0.67	1.55	1.04	1.09	366.24
chr1	825086	825438	352	352	0.07	0.14	0.09	0.07	32.15
chr1	904782	905134	352	352	0.20	0.57	0.41	0.40	143.26
chr1	911383	911735	352	352	0.11	0.23	0.16	0.13	56.77
chr1	916813	917165	352	352	0.21	0.64	0.43	0.42	149.99
chr1	923871	924223	352	352	0.16	0.42	0.34	0.36	118.13
chr1	944151	944503	352	352	0.57	1.00	0.73	0.69	255.73
chr1	960532	960884	352	352	0.10	0.67	0.43	0.51	153.02
chr1	966430	966782	352	352	0.33	0.46	0.40	0.40	139.44
chr1	995914	996266	352	352	0.13	0.30	0.21	0.23	75.13
chr1	1001086	1001438	352	352	0.40	0.61	0.51	0.51	178.05
chr1	1020068	1020420	352	352	0.17	0.31	0.25	0.25	86.65
chr1	1059656	1060008	352	352	0.09	0.27	0.20	0.22	68.98
chr1	1081766	1082118	352	352	0.03	0.07	0.05	0.05	16.19
chr1	1097533	1097885	352	352	0.09	0.15	0.13	0.13	44.71
chr1	1203456	1203808	352	352	0.01	0.11	0.07	0.08	25.20
chr1	1216857	1217209	352	352	0.00	0.02	0.01	0.01	3.81
chr1	1232185	1232537	352	352	0.26	0.80	0.51	0.48	181.03
chr1	1242394	1242746	352	352	0.04	0.08	0.05	0.05	18.47
chr1	1253857	1254209	352	352	0.00	0.13	0.09	0.10	31.63
chr1	1275171	1275523	352	352	0.07	0.10	0.08	0.08	28.32
chr1	1280384	1280736	352	352	0.01	0.12	0.05	0.04	18.07
chr1	1292338	1292690	352	352	0.01	0.25	0.07	0.04	26.03
chr1	1308545	1308897	352	352	0.41	0.86	0.71	0.75	249.50
chr1	1311533	1311885	352	352	0.15	0.25	0.21	0.21	72.49
chr1	1324704	1325056	352	352	0.32	0.73	0.61	0.69	213.72
chr1	1331228	1331580	352	352	0.14	0.30	0.25	0.28	88.34
chr1	1335224	1335576	352	352	0.05	0.22	0.13	0.12	45.25
chr1	1352637	1352989	352	352	0.19	0.34	0.27	0.29	96.15
chr1	1385659	1386011	352	352	0.04	0.15	0.08	0.07	28.05
chr1	1399468	1399820	352	352	0.65	0.80	0.74	0.73	262.19
chr1	1401857	1402209	352	352	0.39	0.50	0.42	0.42	148.59
chr1	1425819	1426171	352	352	0.03	0.06	0.04	0.05	14.88
chr1	1430487	1430839	352	352	0.13	0.19	0.16	0.16	56.81
chr1	1434809	1435161	352	352	0.02	0.08	0.05	0.05	19.20
chr1	1449637	1449989	352	352	0.00	0.14	0.06	0.07	22.22
chr1	1471713	1472065	352	352	0.24	0.88	0.66	0.75	233.85
chr1	1512110	1512462	352	352	0.19	0.88	0.60	0.70	209.88
chr1	1534726	1535078	352	352	0.05	0.22	0.13	0.09	44.87
chr1	1541621	1541973	352	352	0.08	0.16	0.13	0.13	44.54
chr1	1574050	1574402	352	352	0.09	0.48	0.19	0.15	68.24
chr1	1597960	1598312	352	352	0.01	0.03	0.02	0.03	8.68
chr1	1600262	1600614	352	352	0.09	0.38	0.24	0.22	82.77
chr1	1613706	1614058	352	352	0.01	0.11	0.05	0.04	18.96
chr1	1615402	1615754	352	352	0.62	1.36	1.11	1.23	391.39
chr1	1632111	1632463	352	352	0.01	0.13	0.06	0.05	21.06
chr1	1635173	1635525	352	352	0.05	0.21	0.11	0.09	39.13
chr1	1659273	1659625	352	352	0.18	0.60	0.37	0.40	129.99
chr1	1659477	1659829	352	352	0.10	0.29	0.19	0.20	68.58
chr1	1671938	1672290	352	352	0.04	0.14	0.08	0.08	29.51
chr1	1702327	1702679	352	352	0.08	0.22	0.12	0.10	42.41
chr1	1702684	1703036	352	352	0.01	0.08	0.03	0.02	11.03
chr1	1724460	1724812	352	352	0.35	0.74	0.58	0.63	204.79
chr1	1751180	1751532	352	352	0.03	0.10	0.06	0.05	19.52
chr1	1785233	1785585	352	352	0.09	0.15	0.13	0.13	44.81
chr1	1915056	1915408	352	352	0.09	0.19	0.16	0.15	55.61
chr1	1921899	1922251	352	352	0.03	0.07	0.06	0.06	20.22
chr1	2019277	2019629	352	352	0.05	0.26	0.16	0.17	55.70
chr1	2050359	2050711	352	352	0.24	0.32	0.27	0.26	96.62
