#chrom	start	end	size	num_data	min	max	mean	median	sum
chr1	14402	14704	302	302	0.08	0.21	0.17	0.19	51.17
chr1	141472	141774	302	302	0.03	0.14	0.07	0.05	20.08
chr1	185215	185517	302	302	0.19	0.30	0.25	0.25	75.32
chr1	257862	258164	302	302	0.01	0.05	0.04	0.03	10.75
chr1	491223	491525	302	302	0.00	0.05	0.01	0.01	4.22
chr1	586069	586371	302	302	0.00	0.03	0.01	0.00	1.66
chr1	722090	722392	302	302	0.01	0.11	0.04	0.04	13.14
chr1	778745	779047	302	302	0.97	1.35	1.22	1.24	367.22
chr1	825136	825438	302	302	0.06	0.15	0.11	0.12	33.50
chr1	904832	905134	302	302	0.18	0.94	0.58	0.64	173.81
chr1	911433	911735	302	302	0.04	0.21	0.12	0.12	35.59
chr1	916863	917165	302	302	0.23	0.45	0.35	0.40	106.97
chr1	923921	924223	302	302	0.23	0.92	0.63	0.68	189.66
chr1	944201	944503	302	302	0.51	0.83	0.71	0.69	213.63
chr1	960582	960884	302	302	0.04	0.19	0.12	0.15	35.59
chr1	966480	966782	302	302	0.01	0.10	0.03	0.02	9.24
chr1	995964	996266	302	302	0.10	0.25	0.19	0.20	58.54
chr1	1001136	1001438	302	302	0.62	0.69	0.65	0.65	195.19
chr1	1020118	1020420	302	302	0.12	0.44	0.33	0.31	99.15
chr1	1059706	1060008	302	302	0.09	0.25	0.16	0.13	47.01
chr1	1081816	1082118	302	302	0.00	0.02	0.00	0.00	0.99
chr1	1097583	1097885	302	302	0.04	0.16	0.12	0.11	35.59
chr1	1203506	1203808	302	302	0.00	0.02	0.01	0.01	2.05
chr1	1216907	1217209	302	302	0.03	0.18	0.11	0.10	34.66
chr1	1232235	1232537	302	302	0.29	0.36	0.32	0.34	97.15
chr1	1242444	1242746	302	302	0.00	0.12	0.06	0.08	18.01
chr1	1253907	1254209	302	302	0.01	0.12	0.04	0.03	12.33
chr1	1275221	1275523	302	302	0.03	0.08	0.07	0.07	20.42
chr1	1280434	1280736	302	302	0.04	0.08	0.06	0.05	17.20
chr1	1292388	1292690	302	302	0.02	0.10	0.04	0.04	12.43
chr1	1308595	1308897	302	302	0.22	0.99	0.75	0.68	225.68
chr1	1311583	1311885	302	302	0.19	0.23	0.22	0.23	67.32
chr1	1324754	1325056	302	302	0.27	0.79	0.54	0.50	162.20
chr1	1331278	1331580	302	302	0.01	0.13	0.05	0.03	14.36
chr1	1335274	1335576	302	302	0.06	0.32	0.21	0.23	63.74
chr1	1352687	1352989	302	302	0.05	0.12	0.09	0.08	26.36
chr1	1385709	1386011	302	302	0.00	0.06	0.03	0.03	10.16
chr1	1399518	1399820	302	302	0.41	0.88	0.67	0.68	201.13
chr1	1401907	1402209	302	302	0.19	0.38	0.30	0.31	89.77
chr1	1425869	1426171	302	302	0.00	0.22	0.07	0.04	20.47
chr1	1430537	1430839	302	302	0.12	0.25	0.18	0.16	54.95
chr1	1434859	1435161	302	302	0.01	0.07	0.03	0.04	9.44
chr1	1449687	1449989	302	302	0.08	0.14	0.11	0.12	33.55
chr1	1471763	1472065	302	302	0.30	0.57	0.38	0.32	114.82
chr1	1512160	1512462	302	302	0.12	0.62	0.43	0.45	130.81
