#chrom	start	end	size	num_data	min	max	mean	median	sum
chr1	14702	32570	17868	17868	0.00	1.66	0.13	0.10	2369.86
chr1	141772	176862	35090	35090	0.00	0.22	0.04	0.03	1320.05
chr1	185515	198411	12896	12896	0.01	0.34	0.10	0.09	1349.98
chr1	258162	362681	104519	104519	0.00	0.35	0.03	0.00	3049.73
chr1	491523	496241	4718	4718	0.00	0.14	0.05	0.05	247.89
chr1	586369	830796	244427	244427	0.00	4.50	0.08	0.05	20357.32
chr1	722390	727903	5513	5513	0.01	0.24	0.09	0.09	504.72
chr1	779045	813065	34020	34020	0.00	0.67	0.08	0.06	2719.04
chr1	825436	862446	37010	37010	0.00	0.78	0.08	0.05	2902.74
chr1	905132	918976	13844	13844	0.00	0.67	0.16	0.13	2254.15
chr1	911733	917948	6215	6215	0.00	0.67	0.19	0.13	1152.05
chr1	917163	924016	6853	6853	0.00	0.67	0.25	0.26	1688.11
chr1	924221	947575	23354	23354	0.00	1.00	0.27	0.22	6290.39
chr1	944501	962309	17808	17808	0.00	1.00	0.16	0.09	2760.63
chr1	960882	968719	7837	7837	0.00	0.61	0.14	0.12	1132.42
chr1	966780	978865	12085	12085	0.00	0.61	0.10	0.07	1187.59
chr1	996264	1001051	4787	4787	0.11	2.47	0.47	0.34	2250.86
chr1	1001436	1017540	16104	16104	0.00	0.92	0.13	0.11	2148.25
chr1	1020418	1059118	38700	38700	0.00	1.05	0.07	0.05	2872.04
chr1	1060006	1072355	12349	12349	0.00	0.39	0.09	0.08	1160.66
chr1	1082116	1119361	37245	37245	0.00	0.72	0.09	0.07	3222.78
chr1	1097883	1107598	9715	9715	0.00	0.32	0.07	0.07	714.01
chr1	1203806	1209592	5786	5786	0.01	0.24	0.10	0.10	596.02
chr1	1217207	1235067	17860	17860	0.00	1.59	0.12	0.07	2147.76
chr1	1232535	1238041	5506	5506	0.01	0.42	0.18	0.19	988.52
chr1	1242744	1249722	6978	6978	0.00	0.23	0.08	0.07	577.13
chr1	1254207	1276864	22657	22657	0.00	1.72	0.12	0.08	2707.53
chr1	1275521	1283420	7899	7899	0.00	0.22	0.08	0.08	646.00
chr1	1280734	1295029	14295	14295	0.00	0.30	0.10	0.09	1402.44
chr1	1292688	1312609	19921	19921	0.00	0.86	0.15	0.12	3033.23
chr1	1308895	1314677	5782	5782	0.03	0.67	0.30	0.29	1754.67
chr1	1311883	1327687	15804	15804	0.00	0.81	0.22	0.18	3505.14
chr1	1325054	1331896	6842	6842	0.01	0.39	0.14	0.12	980.23
chr1	1331578	1338314	6736	6736	0.01	0.36	0.15	0.14	1001.06
chr1	1335574	1352418	16844	16844	0.00	0.67	0.13	0.11	2150.57
chr1	1352987	1364777	11790	11790	0.00	0.67	0.19	0.19	2288.38
chr1	1386009	1402335	16326	16326	0.00	1.05	0.19	0.10	3046.28
chr1	1399818	1405046	5228	5228	0.05	1.05	0.36	0.33	1891.74
