#chrom	start	end	size	num_data	min	max	mean	median	sum
chr1	21986	28570	6584	6584	0.00	0.19	0.06	0.06	408.60
chr1	157666	172862	15196	15196	0.00	0.16	0.04	0.03	534.80
chr1	190312	194411	4099	4099	0.01	0.39	0.10	0.07	410.44
chr1	308771	358681	49910	49910	0.00	0.25	0.01	0.00	730.15
chr1	492232	492241	9	9	0.03	0.03	0.03	0.03	0.26
chr1	706932	826796	119864	119864	0.00	1.25	0.07	0.05	8323.68
chr1	723496	723903	407	407	0.05	0.12	0.07	0.07	30.41
chr1	794404	809065	14661	14661	0.00	0.40	0.07	0.06	1049.87
chr1	842290	858446	16156	16156	0.00	0.22	0.05	0.04	879.81
chr1	910404	914976	4572	4572	0.02	0.31	0.14	0.13	632.55
chr1	913190	913948	758	758	0.05	0.16	0.09	0.09	70.79
chr1	918939	920016	1077	1077	0.25	0.59	0.42	0.42	456.15
chr1	934248	943575	9327	9327	0.01	0.73	0.23	0.16	2109.92
chr1	951754	958309	6555	6555	0.01	0.25	0.06	0.05	398.24
chr1	963150	964719	1569	1569	0.01	0.19	0.06	0.05	94.80
chr1	971172	974865	3693	3693	0.00	0.17	0.06	0.05	228.81
chr1	997007	997051	44	44	0.21	0.25	0.25	0.25	11.04
chr1	1007838	1013540	5702	5702	0.02	0.29	0.11	0.11	635.85
chr1	1038118	1055118	17000	17000	0.00	0.68	0.08	0.06	1322.88
chr1	1064530	1068355	3825	3825	0.00	0.16	0.06	0.06	236.34
chr1	1099088	1115361	16273	16273	0.00	0.46	0.07	0.06	1213.97
chr1	1101090	1103598	2508	2508	0.01	0.13	0.05	0.05	133.87
chr1	1205048	1205592	544	544	0.03	0.09	0.07	0.07	36.06
chr1	1224486	1231067	6581	6581	0.00	0.23	0.07	0.06	473.30
chr1	1233638	1234041	403	403	0.02	0.10	0.04	0.04	18.04
chr1	1244582	1245722	1140	1140	0.00	0.19	0.05	0.02	53.86
chr1	1263885	1272864	8979	8979	0.00	0.38	0.10	0.09	889.23
chr1	1277820	1279420	1600	1600	0.01	0.27	0.08	0.06	135.96
chr1	1286231	1291029	4798	4798	0.01	0.25	0.09	0.07	409.28
chr1	1300998	1308609	7611	7611	0.00	0.42	0.12	0.09	917.65
chr1	1310136	1310677	541	541	0.20	0.30	0.24	0.24	129.66
chr1	1318134	1323687	5553	5553	0.00	0.50	0.15	0.13	839.36
chr1	1326824	1327896	1072	1072	0.01	0.13	0.06	0.06	68.05
chr1	1333296	1334314	1018	1018	0.08	0.35	0.19	0.16	195.97
chr1	1342346	1348418	6072	6072	0.00	0.33	0.12	0.11	711.11
chr1	1357232	1360777	3545	3545	0.02	0.64	0.18	0.16	636.28
chr1	1392522	1398335	5813	5813	0.00	0.29	0.10	0.09	594.65
chr1	1400782	1401046	264	264	0.14	0.32	0.19	0.16	50.91
chr1	1404600	1406293	1693	1693	0.02	0.32	0.12	0.08	196.25
chr1	1428062	1429255	1193	1193	0.04	0.19	0.10	0.09	117.02
chr1	1432554	1433573	1019	1019	0.02	0.21	0.09	0.06	90.58
chr1	1438870	1441882	3012	3012	0.00	0.25	0.08	0.08	242.72
chr1	1459924	1469163	9239	9239	0.00	0.23	0.06	0.05	585.69
chr1	1484805	1496848	12043	12043	0.00	0.51	0.09	0.09	1131.58
chr1	1523422	1533685	10263	10263	0.00	0.31	0.10	0.09	1035.76
chr1	1537700	1539624	1924	1924	0.01	0.19	0.10	0.10	195.11
chr1	1558266	1573863	15597	15597	0.00	0.59	0.11	0.09	1732.31
chr1	1575587	1576075	488	488	0.01	0.29	0.10	0.06	49.96
chr1	1599072	1599135	63	63	0.06	0.08	0.07	0.08	4.31
chr1	1601507	1601703	196	196	0.00	0.13	0.04	0.00	7.85
chr1	1614775	1614795	20	20	0.06	0.06	0.06	0.06	1.29
chr1	1623028	1629605	6577	6577	0.00	0.22	0.06	0.05	364.90
chr1	1633712	1634263	551	551	0.00	0.06	0.04	0.05	23.55
chr1	1647117	1658012	10895	10895	0.00	0.25	0.06	0.05	699.93
chr1	1660962	1661602	640	640	0.11	0.39	0.23	0.21	145.87
chr1	1676160	1691795	15635	15635	0.00	0.33	0.07	0.05	1137.74
