#chrom	start	end	size	num_data	min	max	mean	median	sum
chr1	15402	21988	6586	6586	0.00	0.57	0.10	0.08	662.96
chr1	142472	157668	15196	15196	0.00	0.11	0.03	0.03	521.24
chr1	186215	190314	4099	4099	0.00	0.24	0.09	0.07	386.03
chr1	258862	308773	49911	49911	0.00	0.31	0.04	0.02	2042.57
chr1	492223	492234	11	11	0.10	0.10	0.10	0.10	1.14
chr1	587069	706934	119865	119865	0.00	10.65	0.13	0.05	15038.73
chr1	723090	723498	408	408	0.04	0.15	0.08	0.08	32.72
chr1	779745	794406	14661	14661	0.00	0.60	0.09	0.09	1371.76
chr1	826136	842292	16156	16156	0.00	0.79	0.11	0.08	1778.03
chr1	905832	910406	4574	4574	0.00	0.37	0.07	0.03	303.72
chr1	912433	913192	759	759	0.03	0.42	0.17	0.10	126.30
chr1	917863	918941	1078	1078	0.22	0.53	0.36	0.34	386.31
chr1	924921	934250	9329	9329	0.00	0.70	0.16	0.12	1474.91
chr1	945201	951756	6555	6555	0.01	0.37	0.11	0.07	716.94
chr1	961582	963152	1570	1570	0.00	0.45	0.12	0.08	184.65
chr1	967480	971174	3694	3694	0.00	0.28	0.06	0.04	235.66
chr1	996964	997009	45	45	0.06	0.07	0.06	0.06	2.86
chr1	1002136	1007840	5704	5704	0.01	0.38	0.11	0.10	650.81
chr1	1021118	1038120	17002	17002	0.00	1.23	0.07	0.05	1152.08
chr1	1060706	1064532	3826	3826	0.00	0.23	0.07	0.06	275.74
chr1	1082816	1099090	16274	16274	0.00	0.37	0.09	0.07	1492.66
chr1	1098583	1101092	2509	2509	0.01	0.37	0.13	0.11	328.43
chr1	1204506	1205050	544	544	0.04	0.17	0.08	0.07	45.89
chr1	1217907	1224488	6581	6581	0.00	0.32	0.08	0.07	516.82
chr1	1233235	1233640	405	405	0.09	0.19	0.14	0.13	55.11
chr1	1243444	1244584	1140	1140	0.00	0.11	0.06	0.06	67.88
chr1	1254907	1263887	8980	8980	0.00	2.04	0.11	0.07	976.24
chr1	1276221	1277822	1601	1601	0.00	0.39	0.10	0.10	156.84
chr1	1281434	1286233	4799	4799	0.00	0.32	0.06	0.04	278.69
chr1	1293388	1301000	7612	7612	0.00	0.43	0.09	0.06	658.58
chr1	1309595	1310138	543	543	0.15	0.30	0.23	0.24	127.37
chr1	1312583	1318136	5553	5553	0.00	0.45	0.19	0.17	1068.00
chr1	1325754	1326826	1072	1072	0.00	0.13	0.06	0.05	61.63
chr1	1332278	1333298	1020	1020	0.07	0.45	0.19	0.17	197.36
chr1	1336274	1342348	6074	6074	0.00	0.36	0.06	0.04	390.82
chr1	1353687	1357234	3547	3547	0.04	0.40	0.18	0.18	644.63
chr1	1386709	1392524	5815	5815	0.00	0.15	0.05	0.04	284.41
chr1	1400518	1400784	266	266	0.04	0.31	0.15	0.18	40.84
chr1	1402907	1404602	1695	1695	0.06	0.26	0.14	0.13	229.51
chr1	1426869	1428064	1195	1195	0.02	0.29	0.12	0.10	145.92
chr1	1431537	1432556	1019	1019	0.01	0.23	0.10	0.10	99.65
chr1	1435859	1438872	3013	3013	0.00	0.34	0.11	0.11	343.72
chr1	1450687	1459926	9239	9239	0.00	0.34	0.08	0.07	731.12
chr1	1472763	1484807	12044	12044	0.00	0.38	0.06	0.05	691.86
chr1	1513160	1523424	10264	10264	0.00	0.23	0.08	0.07	822.56
chr1	1535776	1537702	1926	1926	0.00	0.14	0.08	0.09	155.07
chr1	1542671	1558268	15597	15597	0.00	0.32	0.10	0.09	1520.93
chr1	1575100	1575589	489	489	0.13	0.69	0.40	0.39	193.81
chr1	1599010	1599074	64	64	0.10	0.13	0.11	0.10	7.15
chr1	1601312	1601509	197	197	0.06	0.11	0.07	0.06	14.11
chr1	1614756	1614777	21	21	0.13	0.13	0.13	0.13	2.70
chr1	1616452	1623030	6578	6578	0.00	0.26	0.08	0.07	543.44
chr1	1633161	1633714	553	553	0.00	0.10	0.05	0.05	29.96
chr1	1636223	1647119	10896	10896	0.00	0.28	0.08	0.08	899.74
chr1	1660323	1660964	641	641	0.02	0.40	0.20	0.12	129.14
chr1	1660527	1676162	15635	15635	0.00	0.40	0.11	0.09	1664.74
chr1	1672988	1673194	206	206	0.11	0.20	0.16	0.16	33.38
chr1	1703377	1713368	9991	9991	0.00	0.24	0.06	0.04	602.46
chr1	1703734	1720212	16478	16478	0.00	0.24	0.05	0.04	898.13
