#chrom	start	end	size	num_data	min	max	mean	median	sum
chr1	14702	29570	14868	14868	0.00	1.25	0.11	0.07	1632.63
chr1	141772	173862	32090	32090	0.00	0.24	0.04	0.03	1196.89
chr1	185515	195411	9896	9896	0.00	0.36	0.10	0.07	957.17
chr1	258162	359681	101519	101519	0.00	0.31	0.03	0.00	2806.93
chr1	491523	493241	1718	1718	0.00	0.10	0.03	0.02	52.26
chr1	586369	827796	241427	241427	0.00	10.65	0.11	0.06	25438.43
chr1	722390	724903	2513	2513	0.02	0.20	0.10	0.10	258.92
chr1	779045	810065	31020	31020	0.00	0.60	0.10	0.08	3044.19
chr1	825436	859446	34010	34010	0.00	0.79	0.09	0.06	2977.47
chr1	905132	915976	10844	10844	0.00	0.42	0.09	0.07	971.07
chr1	911733	914948	3215	3215	0.03	0.42	0.12	0.11	396.78
chr1	917163	921016	3853	3853	0.06	0.61	0.28	0.25	1079.46
chr1	924221	944575	20354	20354	0.00	0.78	0.22	0.16	4430.91
chr1	944501	959309	14808	14808	0.00	0.81	0.12	0.07	1763.55
chr1	960882	965719	4837	4837	0.00	0.45	0.09	0.07	457.36
chr1	966780	975865	9085	9085	0.00	0.31	0.08	0.05	682.74
chr1	996264	998051	1787	1787	0.04	0.39	0.15	0.12	264.98
chr1	1001436	1014540	13104	13104	0.00	1.15	0.14	0.09	1852.05
chr1	1020418	1056118	35700	35700	0.00	1.23	0.07	0.04	2349.21
chr1	1060006	1069355	9349	9349	0.00	0.51	0.09	0.07	802.68
chr1	1082116	1116361	34245	34245	0.00	0.37	0.09	0.07	2998.40
chr1	1097883	1104598	6715	6715	0.00	0.37	0.10	0.09	697.35
chr1	1203806	1206592	2786	2786	0.01	0.25	0.09	0.07	250.98
chr1	1217207	1232067	14860	14860	0.00	1.75	0.12	0.07	1795.89
chr1	1232535	1235041	2506	2506	0.01	0.22	0.11	0.10	274.57
chr1	1242744	1246722	3978	3978	0.00	0.32	0.08	0.07	312.90
chr1	1254207	1273864	19657	19657	0.00	2.04	0.11	0.07	2112.38
chr1	1275521	1280420	4899	4899	0.00	0.39	0.09	0.07	444.41
chr1	1280734	1292029	11295	11295	0.00	0.32	0.07	0.05	804.64
chr1	1292688	1309609	16921	16921	0.00	0.74	0.11	0.08	1862.37
chr1	1308895	1311677	2782	2782	0.06	0.52	0.24	0.24	672.71
chr1	1311883	1324687	12804	12804	0.00	1.03	0.16	0.13	2021.78
chr1	1325054	1328896	3842	3842	0.00	0.37	0.09	0.06	364.95
chr1	1331578	1335314	3736	3736	0.00	0.67	0.21	0.18	779.60
chr1	1335574	1349418	13844	13844	0.00	0.37	0.10	0.09	1391.21
chr1	1352987	1361777	8790	8790	0.01	0.61	0.17	0.15	1520.15
chr1	1386009	1399335	13326	13326	0.00	1.27	0.08	0.05	1104.38
chr1	1399818	1402046	2228	2228	0.04	0.61	0.29	0.28	635.61
