#chrom	start	end	size	num_data	min	max	mean	median	sum
chr1	14702	32570	17868	17868	0.00	1.25	0.11	0.07	1955.95
chr1	141772	176862	35090	35090	0.00	0.24	0.04	0.03	1267.43
chr1	185515	198411	12896	12896	0.00	0.36	0.09	0.07	1136.90
chr1	258162	362681	104519	104519	0.00	0.31	0.03	0.00	3010.07
chr1	491523	496241	4718	4718	0.00	0.16	0.04	0.04	199.22
chr1	586369	830796	244427	244427	0.00	10.65	0.11	0.06	25738.83
chr1	722390	727903	5513	5513	0.00	0.20	0.07	0.06	412.47
chr1	779045	813065	34020	34020	0.00	0.60	0.10	0.08	3278.52
chr1	825436	862446	37010	37010	0.00	0.79	0.09	0.06	3173.92
chr1	905132	918976	13844	13844	0.00	0.61	0.14	0.09	1989.33
chr1	911733	917948	6215	6215	0.01	0.61	0.18	0.12	1144.07
chr1	917163	924016	6853	6853	0.02	0.61	0.22	0.19	1500.81
chr1	924221	947575	23354	23354	0.00	0.78	0.22	0.18	5127.36
chr1	944501	962309	17808	17808	0.00	0.81	0.13	0.08	2383.51
chr1	960882	968719	7837	7837	0.00	0.45	0.10	0.07	785.16
chr1	966780	978865	12085	12085	0.00	0.31	0.08	0.05	919.25
chr1	996264	1001051	4787	4787	0.04	2.23	0.42	0.20	2021.47
chr1	1001436	1017540	16104	16104	0.00	1.15	0.13	0.09	2151.25
chr1	1020418	1059118	38700	38700	0.00	1.23	0.07	0.04	2557.30
chr1	1060006	1072355	12349	12349	0.00	0.51	0.08	0.06	998.73
chr1	1082116	1119361	37245	37245	0.00	0.37	0.09	0.07	3219.85
chr1	1097883	1107598	9715	9715	0.00	0.37	0.10	0.07	923.31
chr1	1203806	1209592	5786	5786	0.00	0.25	0.06	0.04	324.71
chr1	1217207	1235067	17860	17860	0.00	1.75	0.12	0.08	2217.52
chr1	1232535	1238041	5506	5506	0.01	0.35	0.11	0.10	611.42
chr1	1242744	1249722	6978	6978	0.00	0.35	0.09	0.07	623.69
chr1	1254207	1276864	22657	22657	0.00	2.04	0.12	0.08	2824.51
chr1	1275521	1283420	7899	7899	0.00	0.39	0.07	0.05	574.21
chr1	1280734	1295029	14295	14295	0.00	0.32	0.07	0.05	1026.71
chr1	1292688	1312609	19921	19921	0.00	0.74	0.13	0.09	2531.15
chr1	1308895	1314677	5782	5782	0.00	0.52	0.23	0.24	1314.11
chr1	1311883	1327687	15804	15804	0.00	1.03	0.16	0.12	2475.05
chr1	1325054	1331896	6842	6842	0.00	0.38	0.14	0.12	960.82
chr1	1331578	1338314	6736	6736	0.00	0.67	0.16	0.13	1068.18
chr1	1335574	1352418	16844	16844	0.00	0.58	0.10	0.08	1725.32
chr1	1352987	1364777	11790	11790	0.00	0.61	0.15	0.12	1739.03
chr1	1386009	1402335	16326	16326	0.00	1.27	0.13	0.06	2125.37
chr1	1399818	1405046	5228	5228	0.01	0.61	0.21	0.18	1107.27
chr1	1402207	1410293	8086	8086	0.01	1.44	0.21	0.14	1701.70
chr1	1426169	1433255	7086	7086	0.00	0.42	0.10	0.09	734.30
chr1	1430837	1437573	6736	6736	0.00	0.59	0.10	0.07	666.86
chr1	1435159	1445882	10723	10723	0.00	0.59	0.09	0.06	999.38
chr1	1449987	1473163	23176	23176	0.00	0.97	0.10	0.07	2229.92
chr1	1472063	1500848	28785	28785	0.00	0.38	0.07	0.06	1932.74
chr1	1512460	1537685	25225	25225	0.00	0.35	0.09	0.08	2244.25
chr1	1535076	1543624	8548	8548	0.00	0.27	0.08	0.08	724.95
chr1	1541971	1577863	35892	35892	0.00	1.27	0.13	0.09	4574.37
chr1	1574400	1580075	5675	5675	0.00	1.27	0.23	0.12	1321.30
chr1	1598310	1603135	4825	4825	0.00	0.40	0.16	0.15	767.50
chr1	1600612	1605703	5091	5091	0.00	0.35	0.11	0.10	545.42
chr1	1614056	1618795	4739	4739	0.02	1.36	0.25	0.12	1183.81
chr1	1615752	1633605	17853	17853	0.00	1.36	0.08	0.06	1422.35
chr1	1632461	1638263	5802	5802	0.00	0.28	0.08	0.06	455.78
chr1	1635523	1662012	26489	26489	0.00	0.94	0.11	0.08	2935.76
chr1	1659623	1665602	5979	5979	0.01	0.59	0.14	0.10	859.81
chr1	1659827	1695795	35968	35968	0.00	1.92	0.13	0.08	4807.49
chr1	1672288	1677397	5109	5109	0.00	0.31	0.10	0.08	507.91
chr1	1702677	1727357	24680	24680	0.00	0.93	0.08	0.05	1996.79
chr1	1703034	1740688	37654	37654	0.00	0.93	0.07	0.05	2768.22
chr1	1724810	1740251	15441	15441	0.00	0.50	0.08	0.06	1191.51
chr1	1751530	1783457	31927	31927	0.00	0.86	0.09	0.06	2985.79
chr1	1785583	1894117	108534	108534	0.00	0.89	0.08	0.06	9017.85
chr1	1915406	1920296	4890	4890	0.00	0.65	0.11	0.06	524.84
chr1	1922249	2006837	84588	84588	0.00	0.48	0.08	0.06	6369.18
