#chrom	start	end	size	num_data	min	max	mean	median	sum
chr1	14702	29570	14868	14868	0.00	1.21	0.12	0.09	1794.80
chr1	141772	173862	32090	32090	0.00	0.17	0.04	0.03	1172.06
chr1	185515	195411	9896	9896	0.01	0.45	0.12	0.10	1197.91
chr1	258162	359681	101519	101519	0.00	0.31	0.03	0.00	2947.09
chr1	491523	493241	1718	1718	0.00	0.11	0.03	0.02	55.82
chr1	586369	827796	241427	241427	0.00	3.31	0.08	0.05	18123.93
chr1	722390	724903	2513	2513	0.00	0.15	0.05	0.05	126.29
chr1	779045	810065	31020	31020	0.00	0.63	0.08	0.06	2417.77
chr1	825436	859446	34010	34010	0.00	0.70	0.07	0.05	2507.68
chr1	905132	915976	10844	10844	0.00	0.31	0.10	0.10	1128.71
chr1	911733	914948	3215	3215	0.02	0.31	0.14	0.13	450.10
chr1	917163	921016	3853	3853	0.09	0.73	0.35	0.36	1353.14
chr1	924221	944575	20354	20354	0.00	1.22	0.23	0.16	4729.15
chr1	944501	959309	14808	14808	0.00	1.22	0.14	0.07	2023.80
chr1	960882	965719	4837	4837	0.00	0.28	0.11	0.10	529.05
chr1	966780	975865	9085	9085	0.00	0.36	0.07	0.06	657.87
chr1	996264	998051	1787	1787	0.04	0.43	0.23	0.23	413.20
chr1	1001436	1014540	13104	13104	0.00	1.03	0.15	0.11	1949.85
chr1	1020418	1056118	35700	35700	0.00	0.68	0.08	0.06	2717.92
chr1	1060006	1069355	9349	9349	0.00	0.38	0.08	0.07	765.24
chr1	1082116	1116361	34245	34245	0.00	0.50	0.08	0.06	2729.86
chr1	1097883	1104598	6715	6715	0.01	0.46	0.08	0.06	555.17
chr1	1203806	1206592	2786	2786	0.01	0.16	0.07	0.06	181.89
chr1	1217207	1232067	14860	14860	0.00	1.40	0.09	0.06	1411.52
chr1	1232535	1235041	2506	2506	0.02	0.28	0.14	0.13	343.10
chr1	1242744	1246722	3978	3978	0.00	0.21	0.05	0.03	216.29
chr1	1254207	1273864	19657	19657	0.00	1.25	0.11	0.08	2254.37
chr1	1275521	1280420	4899	4899	0.01	0.27	0.08	0.06	375.64
chr1	1280734	1292029	11295	11295	0.00	0.28	0.08	0.07	958.39
chr1	1292688	1309609	16921	16921	0.00	0.42	0.11	0.08	1902.38
chr1	1308895	1311677	2782	2782	0.08	0.35	0.21	0.21	579.80
chr1	1311883	1324687	12804	12804	0.00	0.62	0.19	0.18	2376.86
chr1	1325054	1328896	3842	3842	0.01	0.36	0.10	0.09	392.88
chr1	1331578	1335314	3736	3736	0.00	0.37	0.17	0.16	629.64
chr1	1335574	1349418	13844	13844	0.00	0.52	0.11	0.10	1543.04
chr1	1352987	1361777	8790	8790	0.02	0.64	0.21	0.18	1811.33
chr1	1386009	1399335	13326	13326	0.00	0.96	0.11	0.08	1518.44
chr1	1399818	1402046	2228	2228	0.14	0.59	0.35	0.36	789.10
chr1	1402207	1407293	5086	5086	0.02	1.35	0.24	0.20	1235.54
chr1	1426169	1430255	4086	4086	0.00	0.30	0.10	0.08	421.59
chr1	1430837	1434573	3736	3736	0.00	0.34	0.09	0.06	317.61
chr1	1435159	1442882	7723	7723	0.00	0.25	0.08	0.06	603.49
chr1	1449987	1470163	20176	20176	0.00	0.25	0.07	0.05	1327.49
chr1	1472063	1497848	25785	25785	0.00	0.51	0.09	0.08	2320.54
chr1	1512460	1534685	22225	22225	0.00	0.31	0.08	0.07	1827.82
chr1	1535076	1540624	5548	5548	0.00	0.39	0.12	0.09	644.13
chr1	1541971	1574863	32892	32892	0.00	0.91	0.11	0.09	3628.07
chr1	1574400	1577075	2675	2675	0.01	0.91	0.34	0.22	911.71
chr1	1598310	1600135	1825	1825	0.03	0.23	0.10	0.08	191.02
chr1	1600612	1602703	2091	2091	0.00	0.29	0.08	0.06	160.59
