#chrom	start	end	size	num_data	min	max	mean	median	sum
chr1	15402	21988	6586	6586	0.00	0.53	0.11	0.10	755.05
chr1	142472	157668	15196	15196	0.00	0.12	0.03	0.03	434.57
chr1	186215	190314	4099	4099	0.01	0.32	0.14	0.13	557.85
chr1	258862	308773	49911	49911	0.00	0.35	0.04	0.03	2084.77
chr1	492223	492234	11	11	0.02	0.02	0.02	0.02	0.22
chr1	587069	706934	119865	119865	0.00	4.50	0.09	0.05	10201.11
chr1	723090	723498	408	408	0.05	0.20	0.13	0.14	52.44
chr1	779745	794406	14661	14661	0.00	0.54	0.08	0.06	1168.72
chr1	826136	842292	16156	16156	0.00	0.78	0.08	0.05	1314.09
chr1	905832	910406	4574	4574	0.00	0.28	0.10	0.09	462.54
chr1	912433	913192	759	759	0.02	0.16	0.10	0.11	77.84
chr1	917863	918941	1078	1078	0.09	0.44	0.35	0.36	373.29
chr1	924921	934250	9329	9329	0.00	0.81	0.18	0.16	1721.96
chr1	945201	951756	6555	6555	0.00	0.77	0.15	0.11	975.04
chr1	961582	963152	1570	1570	0.01	0.19	0.09	0.10	143.20
chr1	967480	971174	3694	3694	0.00	0.35	0.09	0.08	334.81
chr1	996964	997009	45	45	0.39	0.44	0.40	0.39	17.93
chr1	1002136	1007840	5704	5704	0.00	0.46	0.14	0.13	797.97
chr1	1021118	1038120	17002	17002	0.00	0.99	0.07	0.05	1252.51
chr1	1060706	1064532	3826	3826	0.00	0.26	0.09	0.09	342.83
chr1	1082816	1099090	16274	16274	0.00	0.29	0.09	0.08	1457.12
chr1	1098583	1101092	2509	2509	0.03	0.31	0.09	0.07	217.81
chr1	1204506	1205050	544	544	0.06	0.20	0.11	0.09	59.76
chr1	1217907	1224488	6581	6581	0.00	0.27	0.08	0.07	527.98
chr1	1233235	1233640	405	405	0.01	0.24	0.08	0.05	30.80
chr1	1243444	1244584	1140	1140	0.02	0.09	0.05	0.06	62.04
chr1	1254907	1263887	8980	8980	0.00	1.72	0.10	0.07	905.54
chr1	1276221	1277822	1601	1601	0.00	0.13	0.06	0.04	91.09
chr1	1281434	1286233	4799	4799	0.00	0.27	0.10	0.09	456.07
chr1	1293388	1301000	7612	7612	0.00	0.20	0.07	0.07	527.16
chr1	1309595	1310138	543	543	0.17	0.41	0.29	0.29	157.04
chr1	1312583	1318136	5553	5553	0.07	0.67	0.31	0.31	1734.23
chr1	1325754	1326826	1072	1072	0.02	0.35	0.12	0.09	127.84
chr1	1332278	1333298	1020	1020	0.05	0.36	0.19	0.16	189.75
chr1	1336274	1342348	6074	6074	0.00	0.26	0.09	0.07	566.10
chr1	1353687	1357234	3547	3547	0.13	0.67	0.29	0.27	1041.09
chr1	1386709	1392524	5815	5815	0.00	0.43	0.10	0.09	590.73
chr1	1400518	1400784	266	266	0.29	0.40	0.34	0.34	91.42
chr1	1402907	1404602	1695	1695	0.05	0.30	0.19	0.18	322.20
chr1	1426869	1428064	1195	1195	0.03	0.42	0.19	0.14	226.95
chr1	1431537	1432556	1019	1019	0.00	0.24	0.13	0.13	133.47
chr1	1435859	1438872	3013	3013	0.00	0.51	0.09	0.07	273.87
chr1	1450687	1459926	9239	9239	0.00	0.21	0.06	0.05	576.25
chr1	1472763	1484807	12044	12044	0.00	0.24	0.09	0.08	1138.25
chr1	1513160	1523424	10264	10264	0.00	0.30	0.08	0.07	837.80
chr1	1535776	1537702	1926	1926	0.04	0.22	0.10	0.08	187.11
chr1	1542671	1558268	15597	15597	0.00	0.32	0.10	0.09	1630.33
chr1	1575100	1575589	489	489	0.22	1.00	0.49	0.38	242.00
chr1	1599010	1599074	64	64	0.05	0.07	0.06	0.07	4.01
chr1	1601312	1601509	197	197	0.00	0.02	0.00	0.00	0.76
chr1	1614756	1614777	21	21	0.10	0.10	0.10	0.10	2.08
chr1	1616452	1623030	6578	6578	0.00	0.34	0.11	0.11	744.66
chr1	1633161	1633714	553	553	0.01	0.07	0.04	0.05	23.74
chr1	1636223	1647119	10896	10896	0.00	0.42	0.09	0.08	1034.25
chr1	1660323	1660964	641	641	0.14	0.30	0.21	0.20	133.30
chr1	1660527	1676162	15635	15635	0.00	0.30	0.10	0.09	1567.79
chr1	1672988	1673194	206	206	0.08	0.15	0.10	0.11	20.92
chr1	1703377	1713368	9991	9991	0.00	0.34	0.08	0.05	761.57
chr1	1703734	1720212	16478	16478	0.00	0.34	0.06	0.05	1052.77
chr1	1725510	1730882	5372	5372	0.01	0.28	0.11	0.10	596.83
chr1	1752230	1765845	13615	13615	0.00	0.35	0.10	0.09	1376.80
chr1	1786283	1838202	51919	51919	0.00	0.33	0.08	0.07	3931.01
chr1	1916106	1916202	96	96	0.12	0.13	0.13	0.13	12.08
chr1	1922949	1962894	39945	39945	0.00	0.77	0.08	0.06	3250.68
chr1	2020327	2025044	4717	4717	0.00	0.22	0.07	0.06	329.11
chr1	2051409	2117904	66495	66495	0.00	0.42	0.07	0.06	4640.15
chr1	2142082	2143182	1100	1100	0.01	0.13	0.07	0.07	72.76
chr1	2182792	2183092	300	300	0.05	0.24	0.13	0.11	39.70
chr1	2185459	2198591	13132	13132	0.00	1.00	0.18	0.13	2394.27
chr1	2229317	2269266	39949	39949	0.00	0.36	0.09	0.08	3610.33
chr1	2316038	2319063	3025	3025	0.01	0.20	0.07	0.06	217.26
chr1	2322251	2356480	34229	34229	0.00	0.28	0.08	0.07	2732.37
chr1	2351412	2351618	206	206	0.08	0.22	0.14	0.14	28.69
chr1	2392773	2398609	5836	5836	0.01	0.44	0.11	0.09	636.42
chr1	2404962	2408881	3919	3919	0.05	0.40	0.17	0.15	660.65
chr1	2509535	2517568	8033	8033	0.00	0.25	0.06	0.04	442.63
chr1	2587489	2588980	1491	1491	0.00	0.05	0.02	0.01	24.89
chr1	3060613	3064026	3413	3413	0.00	0.21	0.07	0.07	245.04
chr1	3070166	3253895	183729	183729	0.00	0.44	0.07	0.06	12924.74
chr1	3368813	3370872	2059	2059	0.00	0.29	0.10	0.07	197.83
chr1	3455663	3467890	12227	12227	0.00	0.22	0.06	0.05	674.40
chr1	3488949	3549730	60781	60781	0.00	0.86	0.08	0.06	4627.00
chr1	3626013	3627572	1559	1559	0.01	0.17	0.06	0.05	94.60
chr1	3631765	3641764	9999	9999	0.00	0.27	0.07	0.05	657.84
chr1	3653514	3694359	40845	40845	0.00	0.24	0.07	0.06	2876.53
chr1	3736509	3741442	4933	4933	0.00	0.33	0.09	0.07	422.79
chr1	3773747	3774366	619	619	0.03	0.30	0.15	0.13	93.17
chr1	3779557	3787529	7972	7972	0.00	0.29	0.10	0.09	774.47
chr1	3813084	3834742	21658	21658	0.00	0.35	0.08	0.05	1652.91
chr1	3858265	3871348	13083	13083	0.00	0.32	0.07	0.06	926.90
chr1	3890123	3894710	4587	4587	0.00	0.32	0.08	0.07	359.68
chr1	3901350	3908789	7439	7439	0.00	0.47	0.06	0.05	478.27
chr1	5863809	5927642	63833	63833	0.00	0.26	0.05	0.05	3497.13
chr1	5991925	6046060	54135	54135	0.00	0.59	0.07	0.06	3982.52
chr1	6102785	6141054	38269	38269	0.00	0.55	0.07	0.05	2617.70
chr1	6186018	6197205	11187	11187	0.00	0.40	0.11	0.09	1211.61
chr1	6206473	6213388	6915	6915	0.00	0.40	0.08	0.07	547.18
chr1	6222191	6228583	6392	6392	0.00	0.36	0.11	0.10	725.95
chr1	6235690	6237068	1378	1378	0.01	1.60	0.57	0.57	788.78
chr1	6248351	6254226	5875	5875	0.00	0.32	0.09	0.07	549.98
chr1	6265267	6329018	63751	63751	0.00	0.36	0.07	0.06	4402.32
chr1	6413416	6418544	5128	5128	0.00	0.21	0.07	0.05	351.87
chr1	6425774	6443072	17298	17298	0.00	0.30	0.08	0.07	1318.27
chr1	6461784	6463481	1697	1697	0.01	0.16	0.08	0.08	136.66
chr1	6468120	6493598	25478	25478	0.00	0.51	0.10	0.07	2439.01
chr1	6522345	6537930	15585	15585	0.00	0.28	0.08	0.07	1318.52
chr1	6556305	6567532	11227	11227	0.00	0.27	0.07	0.06	750.81
chr1	6580992	6584638	3646	3646	0.00	0.34	0.12	0.10	445.62
chr1	6591722	6602666	10944	10944	0.00	0.62	0.09	0.07	962.63
chr1	6614729	6618881	4152	4152	0.00	0.40	0.11	0.08	456.66
chr1	6625864	6630226	4362	4362	0.00	0.30	0.08	0.07	360.67
chr1	6635166	6668046	32880	32880	0.00	0.33	0.07	0.06	2226.30
chr1	6786452	7277580	491128	491128	0.00	1.11	0.06	0.05	30754.19
chr1	7772294	7776364	4070	4070	0.00	0.16	0.06	0.06	259.59
chr1	7785289	7814734	29445	29445	0.00	0.26	0.05	0.04	1542.44
chr1	7916869	7929518	12649	12649	0.00	0.26	0.07	0.06	853.14
chr1	7955289	7969898	14609	14609	0.00	2.26	0.13	0.07	1955.01
chr1	7992132	7998224	6092	6092	0.00	0.28	0.06	0.05	356.57
chr1	8005402	8015357	9955	9955	0.00	0.21	0.06	0.05	585.53
chr1	8319112	8331141	12029	12029	0.00	0.22	0.05	0.04	629.70
chr1	8353395	8600660	247265	247265	0.00	0.36	0.07	0.06	17669.82
